Location,School Name,Type,Latitude,Longitude,Better Education Score
Western Australia,SHARK BAY SCHOOL,Primary,-25.92280075,113.5309441,72
Western Australia,CARNARVON CHRISTIAN SCHOOL (INC),Primary,-24.87551778,113.6576221,78
Western Australia,ST MARY STAR OF THE SEA CATHOLIC SCHOOL,Primary,-24.88555971,113.6586924,85
Western Australia,ST MARY STAR OF THE SEA CATHOLIC SCHOOL,Secondary,-24.88555971,113.6586924,88
Western Australia,CARNARVON COMMUNITY COLLEGE,Secondary,-24.867098,113.676415,73
Western Australia,EXMOUTH DISTRICT HIGH SCHOOL,Secondary,-21.93316002,114.1242962,85
Western Australia,KALBARRI DISTRICT HIGH SCHOOL,Secondary,-27.712788,114.163881,85
Western Australia,BEACHLANDS PRIMARY SCHOOL,Primary,-28.78770753,114.6043717,68
Western Australia,GERALDTON PRIMARY SCHOOL,Primary,-28.77863662,114.6080556,79
Western Australia,NAGLE CATHOLIC COLLEGE,Secondary,-28.77776964,114.6099931,88
Western Australia,ST FRANCIS XAVIER PRIMARY SCHOOL,Primary,-28.77685819,114.6147063,83
Western Australia,GERALDTON GRAMMAR SCHOOL,Primary,-28.76195313,114.621025,95
Western Australia,GERALDTON GRAMMAR SCHOOL,Secondary,-28.76195313,114.621025,94
Western Australia,BLUFF POINT PRIMARY SCHOOL,Primary,-28.7403527,114.6215834,69
Western Australia,ST LAWRENCE'S PRIMARY SCHOOL,Primary,-28.744657,114.622509,87
Western Australia,ALLENDALE PRIMARY SCHOOL,Primary,-28.76430303,114.6237354,69
Western Australia,ST JOHN'S SCHOOL,Primary,-28.78351925,114.626735,81
Western Australia,RANGEWestern AustraliaY PRIMARY SCHOOL,Primary,-28.779091,114.628564,68
Western Australia,MOUNT TARCOOLA PRIMARY SCHOOL,Primary,-28.80052461,114.6295411,74
Western Australia,ST MARY'S SCHOOL,Primary,-28.35047262,114.6295977,74
Western Australia,Western AustraliaNDINA PRIMARY SCHOOL,Primary,-28.816506,114.634667,79
Western Australia,Western AustraliaGGRAKINE PRIMARY SCHOOL,Primary,-28.71870352,114.6369427,70
Western Australia,STRATHALBYN CHRISTIAN COLLEGE,Primary,-28.75198509,114.6442673,78
Western Australia,STRATHALBYN CHRISTIAN COLLEGE,Secondary,-28.75198509,114.6442673,89
