Location,School Name,Type,Latitude,Longitude,Score
Western Australia,SHARK BAY SCHOOL,Primary,-25.92280075,113.5309441,945
Western Australia,CARNARVON CHRISTIAN SCHOOL (INC),Primary,-24.87551778,113.6576221,1027
Western Australia,ST MARY STAR OF THE SEA CATHOLIC SCHOOL,Primary,-24.88555971,113.6586924,996
Western Australia,ST MARY STAR OF THE SEA CATHOLIC SCHOOL,Secondary,-24.88555971,113.6586924,996
Western Australia,CARNARVON SCHOOL OF THE AIR,Primary,-24.88431096,113.6607577,1062
Western Australia,CARNARVON COMMUNITY COLLEGE,Secondary,-24.867098,113.676415,763
Western Australia,EXMOUTH DISTRICT HIGH SCHOOL,Secondary,-21.93316002,114.1242962,1016
Western Australia,KALBARRI DISTRICT HIGH SCHOOL,Secondary,-27.712788,114.163881,988
Western Australia,BEACHLANDS PRIMARY SCHOOL,Primary,-28.78770753,114.6043717,788
Western Australia,GERALDTON PRIMARY SCHOOL,Primary,-28.77863662,114.6080556,997
Western Australia,NAGLE CATHOLIC COLLEGE,Secondary,-28.77776964,114.6099931,1018
Western Australia,GERALDTON SENIOR HIGH SCHOOL,Secondary,-28.78068474,114.6117092,904
Western Australia,ST FRANCIS XAVIER PRIMARY SCHOOL,Primary,-28.77685819,114.6147063,1019
Western Australia,MEEKATHARRA SCHOOL OF THE AIR,Primary,-28.74042558,114.6196915,991
Western Australia,GERALDTON GRAMMAR SCHOOL,Primary,-28.76195313,114.621025,1068
Western Australia,GERALDTON GRAMMAR SCHOOL,Secondary,-28.76195313,114.621025,1068
Western Australia,BLUFF POINT PRIMARY SCHOOL,Primary,-28.7403527,114.6215834,805
Western Australia,ST LAWRENCE'S PRIMARY SCHOOL,Primary,-28.744657,114.622509,1019
Western Australia,ALLENDALE PRIMARY SCHOOL,Primary,-28.76430303,114.6237354,890
Western Australia,ST JOHN'S SCHOOL,Primary,-28.78351925,114.626735,934
Western Australia,RANGEWAY PRIMARY SCHOOL,Primary,-28.779091,114.628564,755
Western Australia,MOUNT TARCOOLA PRIMARY SCHOOL,Primary,-28.80052461,114.6295411,955
Western Australia,ST MARY'S SCHOOL,Primary,-28.35047262,114.6295977,959
Western Australia,WANDINA PRIMARY SCHOOL,Primary,-28.816506,114.634667,994
Western Australia,WAGGRAKINE PRIMARY SCHOOL,Primary,-28.71870352,114.6369427,912
Western Australia,STRATHALBYN CHRISTIAN COLLEGE,Primary,-28.75198509,114.6442673,1026
Western Australia,STRATHALBYN CHRISTIAN COLLEGE,Secondary,-28.75198509,114.6442673,1026
Western Australia,NORTHAMPTON DISTRICT HIGH SCHOOL,Secondary,-28.3556655,114.646082,913
Western Australia,BINNU PRIMARY SCHOOL,Primary,-28.04197194,114.6755891,985
Western Australia,CHAPMAN VALLEY PRIMARY SCHOOL,Primary,-28.49970321,114.7915149,1013
Western Australia,WALKAWAY PRIMARY SCHOOL,Primary,-28.93930719,114.7991226,1001
Western Australia,DONGARA DISTRICT HIGH SCHOOL,Secondary,-29.24926582,114.9285663,962
Western Australia,LEEMAN PRIMARY SCHOOL,Primary,-29.94892052,114.9784342,928
Western Australia,YALLINGUP STEINER SCHOOL,Primary,-33.6730468,115.0314978,1064
Western Australia,JURIEN BAY DISTRICT HIGH SCHOOL,Secondary,-30.308373,115.040116,961
Western Australia,CERVANTES PRIMARY SCHOOL,Primary,-30.4991469,115.0659247,968
Western Australia,MARGARET RIVER MONTESSORI SCHOOL,Primary,-33.95961243,115.0673346,1062
Western Australia,ST THOMAS MORE CATHOLIC PRIMARY SCHOOL,Primary,-33.95314926,115.0688027,1064
Western Australia,MARGARET RIVER SENIOR HIGH SCHOOL,Secondary,-33.95431827,115.0746714,1037
Western Australia,MARGARET RIVER PRIMARY SCHOOL,Primary,-33.95452824,115.0757428,1038
Western Australia,RAPIDS LANDING PRIMARY SCHOOL,Primary,-33.963862,115.083987,1031
Western Australia,OUR LADY OF THE CAPE PRIMARY SCHOOL,Primary,-33.59792583,115.0895654,1081
Western Australia,KARRIDALE PRIMARY SCHOOL,Primary,-34.21784646,115.0955651,1018
Western Australia,DUNSBOROUGH PRIMARY SCHOOL,Primary,-33.60060793,115.0997912,1053
Western Australia,MARGARET RIVER INDEPENDENT SCHOOL,Primary,-34.06767921,115.1053456,1067
Western Australia,COWARAMUP PRIMARY SCHOOL,Primary,-33.851817,115.1071394,1034
Western Australia,ONSLOW PRIMARY SCHOOL,Primary,-21.638195,115.110441,944
Western Australia,AUGUSTA PRIMARY SCHOOL,Primary,-34.31671839,115.1595029,974
Western Australia,CAPE NATURALISTE COLLEGE,Secondary,-33.67693545,115.2438891,1008
Western Australia,VASSE PRIMARY SCHOOL,Primary,-33.68018743,115.2489773,1003
Western Australia,ENEABBA PRIMARY SCHOOL,Primary,-29.82022038,115.2681635,1042
Western Australia,WEST BUSSELTON PRIMARY SCHOOL,Primary,-33.65509248,115.3149728,949
Western Australia,CORNERSTONE CHRISTIAN COLLEGE LTD,Primary,-33.67026207,115.3229807,1052
Western Australia,BUSSELTON SENIOR HIGH SCHOOL,Secondary,-33.6575772,115.3250971,947
Western Australia,GEOGRAPHE PRIMARY SCHOOL,Primary,-33.66661113,115.3288339,977
Western Australia,LANCELIN PRIMARY SCHOOL,Primary,-31.01148261,115.3298498,937
Western Australia,ST MARY MACKILLOP COLLEGE,Primary,-33.66260748,115.3302509,1045
