ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45
40275,Saint Mary MacKillop College Albury,Jindera,2642,Combined,Inner Regional,-35.9029,146.827,95,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1077,11,20,35,34,19,14.1,10,5.4,182,101,81,182,0,11
40276,St Dominic Savio School,Rockdale,2216,Primary,Major Cities,-33.951,151.15,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1048,21,23,36,21,3,3,1,0.4,24,10,14,24,0,70
41852,Aberdeen Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6
40277,Saint Mary MacKillop Colleges Limited,Wagga Wagga,2650,Combined,Inner Regional,-35.129,147.348,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1092,10,13,35,42,17,12.5,3,1.6,136,64,72,136,0,39
41853,Abermain Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2
40366,Kinma School,Terrey Hills,2084,Primary,Major Cities,-33.6866,151.217,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1135,1,8,28,62,10,8.3,5,2.9,90,45,45,90,0,2
42715,Adaminaby Public School,Adaminaby,2629,Primary,Outer Regional,-35.9933,148.777,,Government,School Single Entity,Department of Education NSW,K-6,980,32,41,24,3,1,1.3,2,1,19,7,12,19,5,0
40367,Knox Grammar School,Wahroonga,2076,Combined,Major Cities,-33.7231,151.119,100,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1170,1,4,17,78,303,285.3,366,219.6,3030,77,2953,3030,0,30
41854,Adamstown Public School,Adamstown,2289,Primary,Major Cities,-32.9322,151.731,84,Government,School Single Entity,Department of Education NSW,K-6,1040,18,24,28,30,14,15.3,5,2.5,290,140,150,290,11,13
40369,Moriah College,Bondi Junction,2022,Combined,Major Cities,-33.8994,151.245,97,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,8,26,63,174,161.9,101,66.4,1449,706,743,1449,0,7
42530,Adelong Public School,Adelong,2729,Primary,Inner Regional,-35.3123,148.063,79,Government,School Single Entity,Department of Education NSW,K-6,946,56,33,8,3,3,3.8,2,1.5,65,37,28,65,5,0
