ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,% of exams sat that received DA,HSC Students,Exams Sat,DA,Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
40275,Saint Mary MacKillop College Albury,Jindera,2642,Combined,Inner Regional,-35.9029,146.827,98,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1077,11,20,35,34,19,14.1,10,5.4,182,101,81,182,0,11
41152,Conservatorium High School,Sydney,2000,Secondary,Major Cities,-33.8634,151.214,99,0.691,150,217,34,Government,School Single Entity,Department of Education NSW,7-Dec,1195,0,3,17,79,16,18.8,8,4.8,151,91,60,150.6,0,72
41320,North Sydney Boys High School,Crows Nest,2065,Secondary,Major Cities,-33.8296,151.207,100,0.627,612,976,164,Government,School Single Entity,Department of Education NSW,7-Dec,1201,0,5,18,77,54,66.6,10,14.4,915,0,915,915,0,94
40277,Saint Mary MacKillop Colleges Limited,Wagga Wagga,2650,Combined,Inner Regional,-35.129,147.348,98,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1092,10,13,35,42,17,12.5,3,1.6,136,64,72,136,0,39
41319,Hornsby Girls High School,Hornsby,2077,Secondary,Major Cities,-33.7066,151.101,100,0.569,397,698,121,Government,School Single Entity,Department of Education NSW,7-Dec,1210,0,4,13,83,50,53.3,11,9.7,722,722,0,719.9,0,86
40367,Knox Grammar School,Wahroonga,2076,Combined,Major Cities,-33.7231,151.119,99,0.382,720,1886,346,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1170,1,4,17,78,303,285.3,366,219.6,3030,77,2953,3030,0,30
41150,Sydney Girls High School,Surry Hills,2010,Secondary,Major Cities,-33.8942,151.22,100,0.564,561,994,164,Government,School Single Entity,Department of Education NSW,7-Dec,1204,0,7,19,75,60,63,11,11.4,924,924,0,923.8,0,90
40369,Moriah College,Bondi Junction,2022,Combined,Major Cities,-33.8994,151.245,96,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,8,26,63,174,161.9,101,66.4,1449,706,743,1449,0,7
41321,North Sydney Girls High School,Crows Nest,2065,Secondary,Major Cities,-33.8302,151.203,100,0.547,506,925,154,Government,School Single Entity,Department of Education NSW,7-Dec,1214,0,4,16,80,58,62.5,13,11.4,909,909,0,908.4,0,92
40372,St Francis Xavier's College,Hamilton,2303,Secondary,Major Cities,-32.9272,151.754,Not Rated,0.046,100,2178,397,Catholic,School Single Entity,Catholic Schools NSW,11-Dec,1059,13,27,31,29,95,87.1,22,13.7,937,524,413,937,5,8
