Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students,BE Score,ICSEA
5001,ADAM ROAD PRIMARY SCHOOL,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.357951,115.635371,08 9796 3000,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,58,65,63,51,51,58,44,70,,,,,,,,,460,79,970
1397,AL-HIDAYAH ISLAMIC SCHOOL,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,-32.01035814,115.9115641,08 9351 8593,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y06,,32,32,34,33,31,26,20,,,,,,,,,208,83,1055
5002,ALBANY PRIMARY SCHOOL,SUFFOLK STREET,ALBANY,WA,6330,SUFFOLK STREET,ALBANY,WA,6330,-35.01821151,117.8916106,08 9844 2860,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,51,62,58,55,62,63,53,,,,,,,,,424,82,1038
5693,ALINJARRA PRIMARY SCHOOL,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,-31.82962571,115.8701402,08 9462 9950,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,36,48,41,33,47,51,53,40,,,,,,,,,349,76,994
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.7101785,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,19,19,22,11,21,16,16,32,,30,31,26,30,13,14,,300,86,1035
5848,ALKIMOS BEACH PRIMARY SCHOOL,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,-31.625186,115.678659,08 9561 7200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,119,104,106,85,83,75,57,45,,,,,,,,,674,81,1025
5844,ALKIMOS PRIMARY SCHOOL,340 BENENDEN AVENUE,ALKIMOS,WA,6038,340 BENENDEN AVENUE,ALKIMOS,WA,6038,-31.62699105,115.7026573,08 9562 9800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,83,72,87,89,78,79,81,55,,,,,,,,,624,79,1012
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,97,46,50,49,49,59,88,87,,125,139,125,151,143,146,,1354,97,1154
5006,ALLANSON PRIMARY SCHOOL,CAMERON STREET,ALLANSON,WA,6225,CAMERON STREET,ALLANSON,WA,6225,-33.33580893,116.099005,08 9735 2800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,9,10,11,7,17,12,16,12,,,,,,,,,94,81,986
5007,ALLENDALE PRIMARY SCHOOL,52 WITTENOOM STREET,GERALDTON,WA,6530,52 WITTENOOM STREET,GERALDTON,WA,6530,-28.76430303,114.6237354,08 9964 1888,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,43,53,55,44,46,50,48,47,,,,,,,,,386,69,890
5008,AMAROO PRIMARY SCHOOL,79 JONES STREET,COLLIE,WA,6225,79 JONES STREET,COLLIE,WA,6225,-33.35205078,116.149663,08 9735 9400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,35,28,42,41,37,37,34,,,,,,,,,292,72,932
