Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,Eligible Year 12 students,Students with ATAR,% students with ATAR
1038,ST MARY STAR OF THE SEA CATHOLIC SCHOOL,JOHNSTON STREET,CARNARVON,WA,6701,JOHNSTON STREET,CARNARVON,WA,6701,-24.88555971,113.6586924,08 9941 1328,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,37,26,29,20,22,30,29,26,,32,31,17,13,8,3,,323,88,996,,,,,
4941,CARNARVON COMMUNITY COLLEGE,23-27 MARMION STREET,EAST CARNARVON,WA,6701,PO BOX 648,CARNARVON,WA,6701,-24.867098,113.676415,08 9941 6000,MIDWEST,K-12 SCHOOLS,K-12 SCHOOLS,KIN,Y12,21,25,24,32,36,36,32,23,,35,27,31,20,24,17,,383,73,763,,,,,
4077,EXMOUTH DISTRICT HIGH SCHOOL,CARPENTER STREET,EXMOUTH,WA,6707,PO BOX 105,EXMOUTH,WA,6707,-21.93316002,114.1242962,08 9947 8888,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,44,38,39,39,41,36,38,30,,25,32,34,28,24,14,,462,85,1016,,,,,
4173,KALBARRI DISTRICT HIGH SCHOOL,HACKNEY STREET,KALBARRI,WA,6536,PO BOX 584,KALBARRI,WA,6536,-27.712788,114.163881,08 9936 4800,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,20,19,13,12,17,17,12,13,,15,25,14,15,3,8,,203,85,988,,,,,
1068,NAGLE CATHOLIC COLLEGE,SANFORD STREET,GERALDTON,WA,6530,SANFORD STREET,GERALDTON,WA,6530,-28.77776964,114.6099931,08 9920 0500,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,208,192,222,179,154,134,,1089,88,1018,81,77.05,131,54,41.22
4163,GERALDTON SENIOR HIGH SCHOOL,CARSON TERRACE,GERALDTON,WA,6530,PMB 10100,GERALDTON PO,WA,6531,-28.78068474,114.6117092,08 9965 8400,MIDWEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,209,193,,174,167,191,,934,Not Rated,904,127,64.5,189,27,14.29
1484,GERALDTON FLEXIBLE LEARNING CENTRE,15 BAYLY STREET,GERALDTON,WA,6530,15 BAYLY STREET,GERALDTON,WA,6530,-28.76770179,114.6188153,08 9965 2264,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,11,18,25,25,17,17,,113,Not Rated,,,,,,
1403,GERALDTON GRAMMAR SCHOOL,134 GEORGE ROAD,GERALDTON,WA,6530,134 GEORGE ROAD,GERALDTON,WA,6530,-28.76195313,114.621025,08 9965 7800,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,33,25,19,31,29,33,37,43,,48,37,42,39,53,42,,511,94,1068,95,74.45,42,34,80.95
4996,CHAMPION BAY SENIOR HIGH SCHOOL,HIGHBURY STREET,GERALDTON,WA,6530,PMB 102,GERALDTON,WA,6530,-28.79463546,114.63296,08 9965 8300,MIDWEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y11,,,,,,,,,,135,119,290,128,94,,,766,,,,,,,
1292,STRATHALBYN CHRISTIAN COLLEGE,15 CEDAR CRESCENT,STRATHALBYN,WA,6530,15 CEDAR CRESCENT,STRATHALBYN,WA,6530,-28.75198509,114.6442673,08 9938 9100 ,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,30,19,21,27,23,32,34,21,,25,35,32,40,26,12,,377,89,1026,,,,,
4093,NORTHAMPTON DISTRICT HIGH SCHOOL,30 HARVEY ROAD,NORTHAMPTON,WA,6535,PO BOX 13,NORTHAMPTON,WA,6535,-28.3556655,114.646082,08 9934 7000,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,15,9,18,15,12,7,18,16,,10,13,14,5,,,,152,80,913,,,,,
4131,DONGARA DISTRICT HIGH SCHOOL,13 CAVE WAY,DONGARA,WA,6525,13 CAVE WAY,DONGARA,WA,6525,-29.24926582,114.9285663,08 9927 7200,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,39,27,31,30,49,42,40,49,,31,24,27,24,11,8,,432,76,962,,,,,
4155,JURIEN BAY DISTRICT HIGH SCHOOL,19 HAMERSLEY STREET,JURIEN BAY,WA,6516,PO BOX 648,JURIEN BAY,WA,6516,-30.308373,115.040116,08 9688 6100,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,24,19,18,28,19,19,32,21,,31,23,28,32,14,9,,317,78,961,,,,,
4033,MARGARET RIVER SENIOR HIGH SCHOOL,158 BUSSELL HIGHWAY,MARGARET RIVER,WA,6285,158 BUSSELL HIGHWAY,MARGARET RIVER,WA,6285,-33.95431827,115.0746714,08 9757 0700,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,227,210,195,179,171,118,,1100,90,1037,47,82.35,116,46,39.66
4178,CAPE NATURALISTE COLLEGE,30 YEBBLE DRIVE,VASSE,WA,6280,30 YEBBLE DRIVE,VASSE,WA,6280,-33.67693545,115.2438891,08 9746 3500,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,200,169,171,116,110,111,,877,85,1008,66,79.95,110,35,31.82
1329,CORNERSTONE CHRISTIAN COLLEGE LTD,GRACE COURT,BUSSELTON,WA,6280,GRACE COURT,BUSSELTON,WA,6280,-33.67026207,115.3229807,08 9754 1144,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,56,25,33,29,32,32,35,25,,42,28,27,30,22,26,,442,,,,,,,
4009,BUSSELTON SENIOR HIGH SCHOOL,136-156 BUSSELL HIGHWAY,BUSSELTON,WA,6280,136-156 BUSSELL HIGHWAY,BUSSELTON,WA,6280,-33.6575772,115.3250971,08 9751 8900,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,123,135,115,130,92,88,,683,80,947,,,,,
1394,ST MARY MACKILLOP COLLEGE,MACKILLOP AVENUE,BUSSELTON,WA,6280,MACKILLOP AVENUE,BUSSELTON,WA,6280,-33.66260748,115.3302509,08 9752 7400,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,96,60,60,68,71,71,96,95,,174,178,150,137,105,97,,1458,92,1045,70,79.3,97,51,52.58
1429,GEORGIANA MOLLOY ANGLICAN SCHOOL,2 HAWKER APPROACH,BUSSELTON,WA,6280,2 HAWKER APPROACH,BUSSELTON,WA,6280,-33.6606425,115.3815495,08 9752 5252,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,59,53,58,71,54,72,94,75,,124,115,97,104,83,62,,1121,94,1072,45,82.6,62,39,62.9
4088,MULLEWA DISTRICT HIGH SCHOOL,JOSE STREET,MULLEWA,WA,6630,PO BOX 137,MULLEWA,WA,6630,-28.53708777,115.5128854,08 9961 1114,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,3,10,4,10,5,8,2,11,,4,10,4,5,2,2,,80,Not Rated,674,,,,,
1454,SOUTH WEST JOHN CALVIN CHRISTIAN COLLEGE,2 WIDDESON ROAD,CAPEL,WA,6271,2 WIDDESON ROAD,CAPEL,WA,6271,-33.54326,115.565416,08 9726 2038,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,5,5,13,6,7,8,6,13,,7,11,7,4,,,,92,,,,,,,
4183,DALYELLUP COLLEGE,WAKE DRIVE,DALYELLUP,WA,6230,PO BOX 1096,BUNBURY,WA,6231,-33.40385496,115.6257673,08 9797 9200,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,126,146,152,150,117,63,,754,80,981,,,,,
4008,BUNBURY SENIOR HIGH SCHOOL,10-44 HAIG CRESCENT,BUNBURY,WA,6230,10-44 HAIG CRESCENT,BUNBURY,WA,6230,-33.32746917,115.6326077,08 9781 2500,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,177,183,205,166,141,107,,979,88,1019,79,77.3,107,40,37.38
4040,NEWTON MOORE SENIOR HIGH SCHOOL,19-35 HOTCHIN STREET,SOUTH BUNBURY,WA,6230,19-35 HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.359211,115.6354214,08 9722 2400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,128,150,137,94,85,50,,644,80,920,,,,,
1521,BUNBURY REGIONAL COMMUNITY COLLEGE,16 VICTORIA STREET,BUNBURY,WA,6230,16 VICTORIA STREET,BUNBURY,WA,6230,-33.32065,115.63714,0459 915 803 ,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y09,Y12,,,,,,,,,,,,4,63,46,21,,134,Not Rated,,,,,,
1222,BUNBURY CATHEDRAL GRAMMAR SCHOOL,5 ALLEN ROAD,GELORUP,WA,6230,5 ALLEN ROAD,GELORUP,WA,6230,-33.404668,115.63864,08 9722 6000,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,29,13,27,22,25,34,28,36,,60,77,74,75,80,75,,655,97,1081,29,84.8,75,61,81.33
4207,YANCHEP SECONDARY COLLEGE,21 RAVENSBOURNE STREET,YANCHEP,WA,6035,21 RAVENSBOURNE STREET,YANCHEP,WA,6035,-31.552523,115.643429,08 9562 8000 ,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,166,137,153,132,83,47,,718,79,978,,,,,
1519,ATLANTIS BEACH BAPTIST COLLEGE,BREAKWATER DRIVE,TWO ROCKS,WA,6037,BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,14,10,11,14,19,18,24,16,,21,11,12,11,,,,181,89,988,,,,,
4179,MANEA SENIOR COLLEGE,ROBERTSON DRIVE,BUNBURY,WA,6230,PO BOX 500,BUNBURY,WA,6230,-33.36775659,115.6567975,08 9721 0400,SOUTH WEST,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,,,,,,,,,,,,,,255,333,,588,Not Rated,1022,81,77.05,334,90,26.95
1029,BUNBURY CATHOLIC COLLEGE,LOT 4 RODSTED STREET,BUNBURY,WA,6230,LOT 4 RODSTED STREET,BUNBURY,WA,6230,-33.34342203,115.6614239,08 9721 0000,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,166,164,158,151,94,93,,826,89,1035,71,78.95,93,34,36.56
